source,target,value
"692","1141","1"
"2576","1142","1"
"4327","1142","1"
"1263","1262","1"
"1610","1267","1"
"8128","1274","1"
"1028","1275","1"
"122","1278","1"
"9984","1280","1"
"9964","1281","1"
"9315","1281","1"
"4928","1282","1"
"2368","1298","1"
"3170","1300","1"
"4799","1320","1"
"2062","1320","1"
"1578","1322","1"
"4946","1324","1"
"3267","1327","1"
"5295","1327","1"
"5138","1331","1"
"965","1342","1"
"357","1342","1"
"357","1342","1"
"358","1342","1"
"2268","1349","1"
"3288","1390","1"
"1663","1390","1"
"1653","1391","1"
"4946","1391","1"
"4288","1392","1"
"2215","1369","1"
"6152","1406","1"
"6113","1406","1"
"2879","1523","1"
"4634","1523","1"
"1024","1523","1"
"5266","1502","1"
"3232","1502","1"
"4635","1524","1"
"3400","1533","1"
"5725","1504","1"
"2942","1605","1"
"4174","1607","1"
"1254","1609","1"
"4900","1609","1"
"4933","1613","1"
"4950","1615","1"
"2980","1616","1"
"4997","1618","1"
"1683","1626","1"
"1626","1626","1"
"4997","1632","1"
"3134","1635","1"
"4468","1642","1"
"4825","1642","1"
"357","1647","1"
"1649","1653","1"
"3845","1659","1"
"3047","1659","1"
"8760","1659","1"
"1647","1660","1"
"2973","1663","1"
"358","1664","1"
"9984","1679","1"
"1680","1680","1"
"1678","1681","1"
"2504","1683","1"
"747","1683","1"
"769","1684","1"
"2495","1684","1"
"1959","1684","1"
"1985","1688","1"
"2937","1753","1"
"8195","1753","1"
"8104","1728","1"
"1728","1728","1"
"4814","1729","1"
"2093","1729","1"
"2059","1692","1"
"324","1693","1"
"4334","1694","1"
"648","1694","1"
"688","1694","1"
"4995","1694","1"
"2295","1694","1"
"615","1694","1"
"1252","1695","1"
"4267","1698","1"
"672","1698","1"
"593","1698","1"
"544","1699","1"
"2108","1701","1"
"2246","1701","1"
"2061","1703","1"
"4814","1706","1"
"2275","1706","1"
"324","1707","1"
"2997","1708","1"
"2997","1708","1"
"3012","1709","1"
"2643","1709","1"
"2099","1711","1"
"2099","1711","1"
"8085","1712","1"
"4334","1733","1"
"2311","1733","1"
"593","1733","1"
"1698","1733","1"
"359","1736","1"
"5462","1736","1"
"376","1737","1"
"344","1739","1"
"2071","1744","1"
"1593","1745","1"
"1594","1746","1"
"1866","1747","1"
"5014","1751","1"
"4825","1751","1"
"2303","1751","1"
"2807","1714","1"
"2071","1758","1"
"5131","1759","1"
"6419","1759","1"
"1760","1760","1"
"4995","1760","1"
"2241","1760","1"
"1578","1761","1"
"1858","1762","1"
"4825","1765","1"
"192","1769","1"
"4298","1770","1"
"593","1770","1"
"443","1774","1"
"6668","1781","1"
"2298","1781","1"
"8616","1781","1"
"3937","1782","1"
"6104","1782","1"
"582","1783","1"
"8274","1785","1"
"388","1789","1"
"443","1791","1"
"671","1793","1"
"4274","1793","1"
"6178","1796","1"
"2207","1796","1"
"2345","1796","1"
"6178","1797","1"
"4334","1800","1"
"2269","1800","1"
"2424","1801","1"
"4825","1801","1"
"2303","1801","1"
"642","1801","1"
"2079","1801","1"
"8844","1801","1"
"1717","1718","1"
"2278","1803","1"
"1804","1804","1"
"4804","1807","1"
"2368","1810","1"
"1574","1811","1"
"2459","1814","1"
"4825","1815","1"
"2268","1817","1"
"2237","1817","1"
"6682","1817","1"
"2151","1817","1"
"4225","1817","1"
"6597","1818","1"
"4825","1818","1"
"191","1819","1"
"672","1821","1"
"387","1823","1"
"1825","1825","1"
"2146","1829","1"
"4334","1832","1"
"2166","1832","1"
"2269","1832","1"
"2342","1833","1"
"1843","1835","1"
"2292","1835","1"
"2292","1835","1"
"2302","1835","1"
"2080","1836","1"
"6565","1838","1"
"1585","1841","1"
"2292","1843","1"
"2292","1843","1"
"659","1843","1"
"2241","1845","1"
"1686","1846","1"
"1846","1846","1"
"2071","1847","1"
"2453","1853","1"
"2807","1858","1"
"1858","1858","1"
"2213","1861","1"
"1585","1862","1"
"2302","1863","1"
"761","1863","1"
"2279","1863","1"
"2295","1866","1"
"4311","1868","1"
"745","1868","1"
"462","1868","1"
"692","1871","1"
"715","1872","1"
"2237","1875","1"
"6682","1875","1"
"63","1875","1"
"2478","1875","1"
"495","1875","1"
"8619","1879","1"
"620","1880","1"
"2407","1887","1"
"2154","1888","1"
"1800","1889","1"
"715","1891","1"
"6461","1892","1"
"629","1893","1"
"6178","1896","1"
"171","1896","1"
"2345","1896","1"
"4298","1898","1"
"2213","1900","1"
"373","1901","1"
"5768","1902","1"
"4366","1907","1"
"388","1907","1"
"6178","1909","1"
"4291","1911","1"
"497","1931","1"
"9984","1951","1"
"2014","1953","1"
"1955","1955","1"
"492","1955","1"
"505","1959","1"
"4254","1987","1"
"2020","1995","1"
"2011","2000","1"
"2022","2006","1"
"8065","2006","1"
"4255","2010","1"
"109","2010","1"
"960","2014","1"
"2085","2036","1"
"4276","2036","1"
"2040","2040","1"
"1221","2041","1"
"4156","2042","1"
"1566","2042","1"
"487","2045","1"
"495","2045","1"
"1678","2057","1"
"2062","2057","1"
"1681","2057","1"
"4267","2058","1"
"1680","2060","1"
"1678","2062","1"
"1593","2062","1"
"623","2064","1"
"6763","2064","1"
"429","2064","1"
"2292","2069","1"
"761","2069","1"
"2381","2069","1"
"2279","2069","1"
"1686","2072","1"
"6759","2073","1"
"2381","2079","1"
"1678","2082","1"
"4814","2084","1"
"2084","2084","1"
"1681","2085","1"
