source,target,value
"8647","5985","1"
"4373","6001","1"
"417","6002","1"
"495","6002","1"
"6164","6007","1"
"8139","5958","1"
"8160","5958","1"
"8144","5959","1"
"2105","5960","1"
"8206","5962","1"
"554","5962","1"
"3065","6012","1"
"4961","6012","1"
"8476","6034","1"
"6106","6039","1"
"8160","6050","1"
"4282","6050","1"
"3466","6050","1"
"5772","6065","1"
"688","6065","1"
"6067","6067","1"
"6516","6087","1"
"2268","6101","1"
"6149","6102","1"
"2237","6109","1"
"6682","6109","1"
"6111","6111","1"
"6729","6113","1"
"4433","6119","1"
"6997","6136","1"
"5436","6138","1"
"711","6154","1"
"2172","6154","1"
"2365","6157","1"
"6759","6164","1"
"6152","6166","1"
"6715","6178","1"
"8647","6183","1"
"6596","6187","1"
"191","6187","1"
"334","6188","1"
"2576","6189","1"
"4433","6196","1"
"6195","6196","1"
"4912","6197","1"
"838","6203","1"
"6116","6204","1"
"1578","6206","1"
"2424","6207","1"
"2576","6207","1"
"4997","6214","1"
"6164","6217","1"
"42","6223","1"
"3535","6223","1"
"4900","6229","1"
"5557","6233","1"
"8302","6235","1"
"6579","6240","1"
"2146","6249","1"
"6036","6250","1"
"413","6253","1"
"6178","6254","1"
"3365","6254","1"
"6715","6254","1"
"5455","6255","1"
"6340","6257","1"
"5709","6258","1"
"1663","6258","1"
"4377","6270","1"
"3399","6280","1"
"4265","6280","1"
"423","6280","1"
"6406","6280","1"
"5037","6284","1"
"6785","6287","1"
"4995","6326","1"
"9084","6329","1"
"3102","6337","1"
"1739","6339","1"
"5740","6352","1"
"6359","6367","1"
"6368","6369","1"
"1663","6378","1"
"5873","6378","1"
"1020","6380","1"
"5026","6383","1"
"8328","6387","1"
"2637","6297","1"
"2268","6411","1"
"6419","6419","1"
"2967","6422","1"
"2739","6425","1"
"6109","6427","1"
"6388","6438","1"
"5709","6438","1"
"6576","6448","1"
"5479","6448","1"
"5678","6458","1"
"5745","6458","1"
"6112","6459","1"
"6115","6459","1"
"6373","6459","1"
"1800","6461","1"
"1342","6465","1"
"1760","6468","1"
"4226","6468","1"
"1800","6468","1"
"4338","6468","1"
"1828","6468","1"
"2241","6468","1"
"682","6494","1"
"4377","6496","1"
"2435","6535","1"
"3185","6537","1"
"9959","6537","1"
"6537","6538","1"
"2073","6539","1"
"8647","6544","1"
"1252","6547","1"
"2146","6558","1"
"4900","8113","1"
"2942","8120","1"
"2949","8120","1"
"1605","8120","1"
"3005","8129","1"
"4977","8130","1"
"8131","8131","1"
"4933","8132","1"
"8170","8132","1"
"4936","8132","1"
"2959","8137","1"
"4933","8137","1"
"4933","8137","1"
"1679","8137","1"
"8128","8138","1"
"1578","8138","1"
"1176","8153","1"
"2742","8156","1"
"4244","8156","1"
"2732","8156","1"
"5066","8157","1"
"4631","8165","1"
"4951","8172","1"
"4997","8172","1"
"1632","8172","1"
"5106","8181","1"
"3045","8182","1"
"4814","8182","1"
"8130","8182","1"
"8136","8191","1"
"5017","8191","1"
"351","8192","1"
"3169","8228","1"
"5082","8202","1"
"8144","8205","1"
"1676","8206","1"
"8131","8216","1"
"8131","8216","1"
"1547","8218","1"
"2159","8222","1"
"977","8229","1"
"9080","8235","1"
"3117","8235","1"
"5106","8247","1"
"3109","8247","1"
"3019","8255","1"
"5106","8256","1"
"3109","8256","1"
"8247","8256","1"
"8104","8262","1"
"9983","8268","1"
"9984","8268","1"
"4338","8270","1"
"2241","8270","1"
"638","8277","1"
"600","8277","1"
"688","8277","1"
"4995","8277","1"
"4995","8277","1"
"5106","8280","1"
"3109","8280","1"
"8247","8280","1"
"8256","8280","1"
"5455","8290","1"
"1326","8290","1"
"3570","8301","1"
"9959","8307","1"
"4603","8311","1"
"2888","8311","1"
"5369","8319","1"
"2268","8319","1"
"2153","8401","1"
"8290","8401","1"
"191","8406","1"
"167","8406","1"
"1388","8336","1"
"2071","8338","1"
"5471","8345","1"
"1724","8345","1"
"8207","8347","1"
"5692","8347","1"
"2071","8410","1"
"4814","8410","1"
"1744","8410","1"
"2345","8351","1"
"4377","8356","1"
"2107","8415","1"
"2305","8419","1"
"9112","8364","1"
"5968","8364","1"
"649","8367","1"
"8435","8367","1"
"1794","8367","1"
"544","8372","1"
"6359","8512","1"
"6366","8513","1"
"3116","8517","1"
"5019","8518","1"
"357","8520","1"
"358","8520","1"
"4286","8525","1"
"1599","8525","1"
"187","8525","1"
"8144","8526","1"
"934","8537","1"
"5595","8537","1"
"6409","8537","1"
"8537","8537","1"
"4824","8537","1"
"9112","8537","1"
"9118","8537","1"
"4936","8537","1"
"6409","8537","1"
"2031","8537","1"
"3605","8537","1"
"5455","8432","1"
"6210","8437","1"
"6151","8440","1"
"6759","8440","1"
"2241","8440","1"
"6164","8440","1"
"2499","8448","1"
"1819","8448","1"
"3090","8450","1"
"5805","8456","1"
"3170","8456","1"
"4799","8459","1"
"4433","8462","1"
"5772","8472","1"
"2335","8472","1"
"4338","8472","1"
"1774","8495","1"
"2368","8548","1"
"1759","8552","1"
"4995","8552","1"
"6419","8552","1"
"4825","8555","1"
"4298","8555","1"
"1904","8555","1"
"1779","8555","1"
"3223","8568","1"
"4912","8569","1"
"3253","8596","1"
"4168","8612","1"
"8104","8614","1"
"1686","8616","1"
"2256","8619","1"
"2435","8619","1"
"4338","8619","1"
"6430","8621","1"
"3249","8626","1"
"4174","8632","1"
"2268","8637","1"
"6683","8638","1"
"2393","8647","1"
"2387","8647","1"
"1653","8652","1"
"2071","8652","1"
"2226","8658","1"
"191","8658","1"
"2215","8658","1"
"8169","8659","1"
"8169","9076","1"
"8169","9078","1"
"8068","9079","1"
"3090","9081","1"
"1593","9081","1"
"2973","9081","1"
"1702","9081","1"
"2062","9081","1"
"2108","9081","1"
"4270","9081","1"
"2093","9081","1"
"1796","9088","1"
"1831","9088","1"
"9964","9064","1"
"4313","9100","1"
"165","9100","1"
"9984","9113","1"
"4166","9102","1"
"2045","9112","1"
"6574","9137","1"
"4995","9138","1"
"1578","9139","1"
"5037","9139","1"
"6284","9139","1"
"1747","9118","1"
"5968","9118","1"
"9112","9118","1"
"1653","9119","1"
"2071","9119","1"
"8652","9119","1"
"2948","9280","1"
"9736","9316","1"
"9959","9226","1"
"9628","9323","1"
"6021","9271","1"
"9964","9438","1"
"4635","9415","1"
"9064","9384","1"
"9985","9454","1"
"74","9482","1"
"2894","9485","1"
"45","9549","1"
"9986","9608","1"
"9987","9608","1"
"9988","9608","1"
"9989","9608","1"
"9990","9608","1"
"9991","9608","1"
"9992","9608","1"
"9993","9608","1"
"9994","9608","1"
"9995","9608","1"
"9996","9608","1"
"9997","9608","1"
"9998","9608","1"
"9999","9578","1"
"9964","9602","1"
"9964","9598","1"
"9315","9598","1"
"9317","9628","1"
"9393","9660","1"
"9963","9732","1"
"9964","9732","1"
"9965","9732","1"
"9966","9732","1"
"9967","9732","1"
"9968","9732","1"
"9969","9732","1"
"9970","9732","1"
"9919","9835","1"
"2915","9882","1"
"5651","9882","1"
"9267","9898","1"
"9267","9926","1"
